employee_id,employee_name,business_unit,join_date,status,region,cost_to_company
EMP1000,Daniel Thornton,Enterprise,2023-02-11,Active,South,1566441
EMP1001,Ashley Burch,Retail,2020-09-10,Active,West,1533942
EMP1002,Angel Perry,Online,2022-02-28,Active,East,962333
EMP1003,Kimberly Harmon,Online,2021-10-15,Active,North,503403
EMP1004,Sarah Smith DDS,Enterprise,2023-01-31,Active,West,1051271
EMP1005,Sierra Jordan,Enterprise,2023-01-19,Active,South,731473
EMP1006,Adam Wood,Enterprise,2019-10-30,Active,West,596883
EMP1007,Keith Collins,Online,2023-03-08,Active,East,864597
EMP1008,Mitchell Kelly,Enterprise,2021-08-30,Active,North,1736454
EMP1009,Jacob Mendez,Enterprise,2023-08-28,Active,North,1479884
EMP1010,William Bryant,Enterprise,2022-01-02,Active,North,1160373
EMP1011,Sean Daniels,Retail,2022-06-29,Active,South,1603487
EMP1012,William Day,Retail,2020-08-02,Active,East,876810
EMP1013,Ashley Mason,Enterprise,2020-01-19,Active,North,1675111
EMP1014,Christopher Miller,Enterprise,2023-06-20,Active,West,1780847
EMP1015,Michelle Jimenez DDS,Online,2022-01-09,Active,West,1710220
EMP1016,Brenda Johnson,Enterprise,2021-07-27,Active,East,416329
EMP1017,Vanessa Green,Online,2021-02-24,Active,South,1016140
EMP1018,Natalie York,Retail,2020-05-10,Active,East,1127214
EMP1019,Kayla Ferguson MD,Online,2023-10-02,Active,East,1268998
EMP1020,Douglas Manning,Online,2020-12-26,Active,North,1345117
EMP1021,Ashley Floyd,Retail,2019-12-17,Active,South,1202540
EMP1022,Gloria Gardner,Online,2022-01-10,Active,East,1029953
EMP1023,Christine Hodges,Retail,2022-04-04,Active,West,444793
EMP1024,Dana Williams,Retail,2021-03-09,Active,South,1196625
EMP1025,Gregory Nelson,Online,2022-05-23,Active,South,731990
EMP1026,Stephanie Bailey,Retail,2021-12-22,Active,North,1161267
EMP1027,Melissa Garcia,Enterprise,2020-10-25,Active,North,791519
EMP1028,Tim Rodriguez,Online,2023-09-17,Active,North,1746633
EMP1029,Kristina Tucker,Retail,2021-06-05,Active,North,1265713
EMP1030,Holly Marks,Retail,2020-02-15,Active,North,1571351
EMP1031,Michael Smith,Online,2020-03-08,Active,West,1441184
EMP1032,Benjamin Adams,Enterprise,2020-04-16,Active,North,435738
EMP1033,Chelsey Mercado,Online,2023-10-06,Active,North,812514
EMP1034,Misty Butler,Online,2020-07-29,Active,North,1192658
EMP1035,Robert Deleon,Online,2021-12-05,Active,East,557184
EMP1036,Dana Ross,Enterprise,2023-10-03,Active,North,1027205
EMP1037,Joseph Jackson,Online,2021-09-14,Active,South,904743
EMP1038,Brandon Smith,Enterprise,2022-12-22,Active,South,1411760
EMP1039,Brian Jones,Online,2022-11-09,Active,East,1016229
EMP1040,Shane King,Retail,2019-10-24,Active,West,513302
EMP1041,Jeff Norris,Enterprise,2023-02-11,Active,South,1312252
EMP1042,Kevin Webb,Enterprise,2021-05-22,Active,South,1164582
EMP1043,Misty Li,Retail,2021-06-14,Active,East,1793337
EMP1044,Nathaniel Middleton,Online,2019-01-13,Active,West,828588
EMP1045,Dean Vazquez,Enterprise,2023-06-06,Active,West,602700
EMP1046,Deborah Norris,Enterprise,2021-09-23,Active,North,735302
EMP1047,Erica Johnson,Enterprise,2019-05-16,Active,North,702747
EMP1048,Jennifer Greer,Online,2023-11-24,Active,South,974431
EMP1049,Amy Berg,Retail,2019-08-24,Active,North,527023
EMP1050,Ryan Bell,Retail,2019-01-19,Active,West,1236136
EMP1051,Gina Rodriguez,Online,2019-09-04,Active,North,608587
EMP1052,Paul Foster,Retail,2022-08-26,Active,West,1042112
EMP1053,Christopher Reese PhD,Retail,2020-05-16,Active,South,1285397
EMP1054,Shannon Cohen,Enterprise,2019-08-21,Active,East,1318371
EMP1055,David Garcia,Online,2019-12-09,Active,West,441568
EMP1056,Dana Rice,Online,2022-04-04,Active,South,740754
EMP1057,Kimberly Cooper,Online,2022-04-13,Active,South,549413
EMP1058,Jennifer Smith,Retail,2023-08-05,Active,South,1676047
EMP1059,Matthew Mathews,Enterprise,2020-10-10,Active,East,924672
EMP1060,Jason Miller,Online,2022-01-11,Active,East,1775817
EMP1061,Leslie Mendoza,Retail,2021-01-04,Active,South,1609034
EMP1062,Thomas Foster,Retail,2022-03-10,Active,West,925806
EMP1063,Charles Rice,Enterprise,2023-03-25,Active,West,1597807
EMP1064,Rebecca Stein,Enterprise,2019-10-22,Active,West,1149833
EMP1065,Joshua Fernandez,Enterprise,2022-10-19,Active,East,1577162
EMP1066,Mr. James Rogers,Retail,2019-01-12,Active,East,1527114
EMP1067,Jacob Gross,Enterprise,2019-11-01,Active,North,447456
EMP1068,Jennifer Chapman,Online,2019-02-15,Active,West,1374456
EMP1069,Michelle Bradley,Retail,2023-11-06,Active,North,1340895
EMP1070,Jared Chang,Retail,2020-12-27,Active,North,1397376
EMP1071,Emily Williams,Online,2021-01-13,Active,South,560084
EMP1072,Kristin Wells,Retail,2021-07-05,Active,North,1536866
EMP1073,Isaiah Morris,Online,2020-08-17,Active,South,1527239
